sno,假日0400初始車輛數
500113094,3
500113095,4
500113096,6
500113097,22
500113098,10
500113099,4
500113100,15
500113101,14
500119005,28
500119006,36
500119007,19
500119008,3
500119009,26
500119043,41
500119044,6
500119045,3
500119046,14
500119047,3
500119048,14
500119049,3
500119050,5
500119051,4
500119052,4
500119053,3
500119054,3
500119055,5
500119056,6
500119057,6
500119058,2
500119059,5
500119060,2
500119061,3
500119062,3
500119063,8
500119064,18
500119065,2
500119066,1
500119067,3
500119068,4
500119069,7
500119070,26
500119071,3
500119072,2
500119074,2
500119075,1
500119076,8
500119077,5
500119078,2
500119079,2
500119080,2
500119081,2
500119082,1
500119083,1
500119084,3
500119085,2
500119086,4
500119087,1
500119088,11
500119089,3
500119090,2
500119091,5
500119092,2
500119093,6
500119094,4
500119095,3
500119096,40
500119097,25
500119098,10
